num_trees,points_per_class,connectivity,neighborhood_size,kappa_multi,overall_multi,pa_water_multi,ua_water_multi,kappa_binary,overall_binary,pa_water_binary,ua_water_binary
500,150,8,256,0.78,84,86.0,99.0,0.93,96.35,93.02,98.77
500,200,4,128,0.83,86,89.0,96.0,0.93,96.41,94.62,97.78
500,200,4,256,0.85,87,93.0,96.0,0.95,97.44,95.7,98.89
500,200,8,128,0.81,84,89.0,90.0,0.97,98.46,97.85,98.91
500,200,8,256,0.81,84,93.0,87.0,0.95,97.44,95.7,98.89
500,250,4,128,0.82,87,92.0,100.0,0.8,89.8,81.82,97.59
500,250,4,256,0.83,86,92.0,100.0,0.88,93.88,88.89,98.88
500,250,8,128,0.82,85,92.0,100.0,0.87,93.37,88.89,97.78
500,250,8,256,0.81,84,93.0,96.0,0.88,93.88,88.89,98.88
500,300,4,128,0.86,89,96.0,95.0,0.82,92.52,76.34,100.0
500,300,4,256,0.85,88,91.0,100.0,0.89,95.58,86.02,100.0
500,300,8,128,0.83,86,92.0,97.0,0.89,95.24,84.95,100.0
500,300,8,256,0.81,84,94.0,88.0,0.87,94.56,82.8,100.0
500,350,4,128,0.84,87,94.0,100.0,0.98,98.98,97.94,100.0
500,350,4,256,0.81,84,95.0,96.0,0.99,99.49,98.97,100.0
500,350,8,128,0.8,83,93.0,93.0,0.94,96.94,96.91,96.91
500,350,8,256,0.8,84,93.0,96.0,0.97,98.47,96.91,100.0
500,400,4,128,0.85,88,93.0,100.0,0.98,98.98,97.94,100.0
500,400,4,256,0.83,86,92.0,100.0,0.99,99.49,98.97,100.0
500,400,8,128,0.83,86,92.0,100.0,0.94,96.94,96.91,96.91
500,400,8,256,0.85,87,93.0,100.0,0.97,98.47,96.91,100.0
1000,50,4,128,0.76,81,91.0,89.0,0.75,87.5,82.57,93.75
1000,50,4,256,0.77,81,88.0,96.0,0.72,86.0,76.15,97.65
1000,50,8,128,0.78,82,87.0,97.0,0.79,89.5,80.73,100.0
1000,50,8,256,0.74,78,86.0,98.0,0.72,86.0,76.15,97.65
1000,100,4,128,0.76,81,91.0,89.0,0.89,94.42,91.0,97.85
1000,100,4,256,0.77,81,88.0,96.0,0.91,95.43,92.0,98.92
