system:index,B10,B2,B3,B4,B5,B6,B7,Hillshade,MNDWI,NDVI,id,slope,.geo,Class,Sensor,B10_normalized
34_0,288.62238,0.18220526,0.16854781,0.1529011,0.13826194,0.13255364,0.10173663,166,0.119541675,-0.0502782,-66176588,8.57989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.66907587868607,-43.33747414018589]}",BareSurface,LT04,0.5965211944561959
35_0,291.27435,0.18220526,0.16240442,0.14742427,0.121097855,0.10514866,0.085702546,188,0.21399777,-0.09804187,1736307657,1.1113772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.7788431870133,-43.37879967180777]}",BareSurface,LT04,0.6528688438381178
36_0,299.29797,0.13409355,0.13475917,0.14468583,0.24811216,0.3084023,0.23962972,190,-0.39182812,0.26330665,1653196909,1.2449292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.4322704304192,-44.00293067744077]}",BareSurface,LT04,0.8233504580848006
37_0,294.7185,0.13126345,0.11632901,0.10908639,0.097068116,0.1165674,0.08249573,190,-0.0010236149,-0.058297396,-1868735236,5.8195524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.16947080385347,-43.68799331742338]}",BareSurface,LT04,0.7260483129191198
38_0,295.14206,0.14824405,0.13475917,0.12825532,0.12453067,0.15082364,0.11456389,204,-0.05625151,-0.014734399,-111770614,8.357996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.1781090657185,-43.65510117404746]}",BareSurface,LT04,0.7350478907319183
39_0,289.51324,0.16522466,0.15626103,0.14468583,0.13482913,0.1302699,0.10494344,201,0.09070967,-0.03526359,1086956345,25.678066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.05441098210702,-43.61929924464371]}",BareSurface,LT04,0.6154497143596553
40_0,287.27277,0.1241882,0.11325731,0.10360955,0.1657245,0.14625613,0.09852981,183,-0.12715651,0.23062421,766299451,29.119375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.0106493310742,-43.61244594913048]}",BareSurface,LT04,0.5678453983188573
41_0,290.83658,0.1694698,0.14704594,0.13647059,0.11423221,0.11428365,0.095323,207,0.1253677,-0.08870413,-507495974,5.8559375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.19776037763103,-43.60418780881741]}",BareSurface,LT04,0.6435673394960914
42_0,297.65256,0.1581494,0.14397426,0.13099374,0.121097855,0.14853989,0.11456389,191,-0.015608224,-0.039255112,-486233919,0.27903694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2325830933218,-43.64278419708495]}",BareSurface,LT04,0.7883896607267952
43_0,297.23773,0.14541395,0.13475917,0.12004007,0.11766504,0.16680987,0.12097752,190,-0.106279805,-0.009991494,68949934,0.74039096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.2497321596285,-43.63965658628086]}",BareSurface,LT04,0.7795755733151343
44_0,288.62238,0.14541395,0.12247239,0.10634796,0.08676966,0.102864906,0.079288915,194,0.08701393,-0.101380184,-840697158,10.689258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.33631615668284,-43.57914430144501]}",BareSurface,LT04,0.5965211944561959
